Lemma,Nombre d'apparitions,Frequence d'apparition
ik,16,0.13675
de,11,0.09402
het,5,0.04274
in,4,0.03419
ne,4,0.03419
eten,4,0.03419
van,4,0.03419
eer,4,0.03419
hij,4,0.03419
en,3,0.02564
uit,3,0.02564
een,3,0.02564
hoe,3,0.02564
mijn,3,0.02564
af,2,0.01709
op,2,0.01709
uw,2,0.01709
die,2,0.01709
zij,2,0.01709
hoofd,2,0.01709
aan,2,0.01709
je,2,0.01709
te,2,0.01709
om,2,0.01709
hemelren,1,0.00855
c,1,0.00855
genaard,1,0.00855
beven,1,0.00855
ook,1,0.00855
hier,1,0.00855
naar,1,0.00855
kok,1,0.00855
men,1,0.00855
tot,1,0.00855
na,1,0.00855
at,1,0.00855
et,1,0.00855
johannes,1,0.00855
dan,1,0.00855
niet,1,0.00855
eigen,1,0.00855
hood,1,0.00855
mede,1,0.00855
te+verwinnen,1,0.00855
nog,1,0.00855
gij,1,0.00855
toe,1,0.00855
el,1,0.00855
eeuwelijk,1,0.00855
toen,1,0.00855
