form,lemma,pos
WAnneer,mener,adv(gener)
een,een,art(indef)
dart'le,dartel,n(sing)
jonge,jong,adj()
"Maeght,",hagen,n(sing)
Herodes,erodes,n(prop)
te,te,adp()
"behaghen,",behagen,v(infin)
Haer,zij,conj(coord)
in,in,adp()
het,het,"pron(pers,3,sing)"
dansen,dansen,v(infin)
hoof'lijck,hoofdlijk,adj()
"draeght,",dragen,n(sing)
Soo,hoop,conj(coord)
worde,worden,n(sing)
om,om,adp()
't,et,art(def)
vermaeck,vermaken,n(sing)
Des,hebben,pron(poss)
"Koninghs,",honing,n(sing)
in,in,adp()
die,de,art(def)
"saeck,",zaak,n(sing)
Johannes,honhande,n(prop)
doodt,dood,n(sing)
geslaghen,slaan,"v(participle,past)"
Als,als,adv(gener)
oock,ook,adv(gener)
't,eten,adv(gener)
gesuyckerde,gezworen,adj()
Fenijn,enin,n(sing)
Van,johannes,adp()
't,et,art(def)
sondige,zondig,adj()
vermaecken,vermaken,v(infin)
Ons,ne+zij,pron(poss)
hert,hart,n(sing)
verlockt,verlochten,"v(fin,pres,lex)"
door,door,adp()
wellusts,wellust,n(sing)
"schijn,",schijn,n(sing)
Soo,o,n(prop)
worght,worgen,"v(fin,pres,lex)"
oock,ook,adv(gener)
in,in,adp()
't,eten,adv(gener)
"gemoet,",gemoed,adj()
De,eer,pron(poss)
smaeck,smaak,n(sing)
van,van,adp()
't,het,art(def)
Hemels,aemilius,n(sing)
"goedt,",goed,adj()
En,ne,conj(coord)
lust,lusten,n(sing)
tot,tot,adp()
heyl'ge,heilig,adj()
saecken.,zaak,n(sing)
