form,lemma,pos
Al,el,adv(gener)
die,de,pron(rel)
beminnen,beminnen,n(plu)
d’Aerde-rijck,derderkeren,art(def)+n(sing)
Zijn,een,adv(gener)
"aerd’,",aarde,n(sing)
en,een,adv(neg)
"slijck,",slijk,adj()
Maer,zij,adp()
die,die,pron(dem)
uyt,uit,n(sing)
all’,al,num(indef)
hun,zij,"pron(pers,3,plu)"
sinnen,zin,n(plu)
Godt,hoofd,"v(fin,pres,lex)"
vierigh,vurig,adj()
minnen,minnen,n(sing)
Die,hij,interj()
zijn,zijn,pron(poss)
"Goddelijck,",hoddelijk,adj()
De,eerietlang,pron(poss)
liefde,liefde,n(sing)
weet,weten,"v(fin,pres,lex)"
den,de,art(def)
Minnaer,minnaar,n(sing)
soo,zo,adv(resum)
te,te,adp()
keeren,keren,v(infin)
Dat,eten,conj(subord)
s’hem,sem,"pron(pers,3,sing)+pron(pers,3,sing)"
het,het,"pron(pers,3,sing)"
wesen,wezen,v(infin)
gheeft,geven,"v(fin,pres,lex)"
van,van,adp()
sijnen,zijn,pron(poss)
Heer,eer,adv(gener)
De,ee,pron(poss)
Berghen,ergens,n(plu)
van,van,adp()
Alevernen,leveren,n(plu)
hebben,hebben,"v(fin,pres,aux_cop)"
dit,dit,pron(dem)
ghesien,zien,"v(participle,past)"
Als,als,"v(fin,pres,aux_cop)"
daer,daar,pronadv(rel)
Franciscus,mannacus,n(prop)
van,van,adp()
den,de,art(def)
Seraphien,herafie,n(plu)
De,ee,conj(coord)
wondekens,wonden,n(plu)
van,van,adp()
Christus,hertstus,n(prop)
heeft,hebben,"v(fin,pres,aux_cop)"
Ontfanghen,ontvangen,"v(participle,past)"
in,in,adp()
sijn,zijn,pron(poss)
"Lichaem,",echam,n(prop)
Soo,ooi,n(prop)
dat,dat,conj(subord)
de,de,art(def)
form,vorm,n(sing)
van,van,adp()
Christus,heristus,n(prop)
in,in,adp()
Franciscus,manneschuis,n(prop)
leeft.,leven,"v(fin,pres,lex)"
Franciscus,mannacus,n(prop)
leght,liggen,"v(fin,pres,lex)"
af,af,v(prtcl)
uw’,uw,pron(poss)
habijt,habijt,n(sing)
Voor,haar,n(sing)
kleynen,klein,n(sing)
"tijdt,",tijd,n(sing)
Komt,om,v(imp)
sonder,zonder,adp()
kap,kap,n(sing)
"verschijnen,",verschijnen,v(infin)
Sy,hij,"pron(pers,1,sing)"
sullen,zullen,"v(fin,pres,aux_cop)"
meynen,menen,v(infin)
Dat,haten,interj()
ghy,gij,"pron(pers,2,sing)"
Christus,christus,n(sing)
zijt:,zijn,"v(fin,pres,aux_cop)"
O,.,conj(coord)
Christus,christus,n(sing)
kleedt,kleden,"v(fin,pres,lex)"
u,gij,"pron(pers,2,plu)"
in,in,adp()
Franciscus,mannescuis,n(sing)
"kleeren,",klaar,v(infin)
Soo,o,n(sing)
sullen,zullen,"v(fin,pres,aux_cop)"
sy,zij,"pron(pers,3,plu)"
u,gij,"pron(pers,2,plu)"
voor,voor,adp()
Franciscus,manneschiuw,n(sing)
"eeren,",eren,adv(gener)
De,eer,n(sing)
Son,hij,n(sing)
die,die,pron(rel)
siet,zien,"v(fin,pres,lex)"
haer,haar,pron(poss)
selven,zelf,"pron(refl,3,sing)"
in,in,adp()
een,een,art(indef)
klaer,klaar,n(sing)
"Fontijn,",jont,"v(fin,pres,lex)"
En,ne,conj(coord)
Christus,het+hij,n(sing)
siet,zien,"v(fin,pres,lex)"
nu,nu,adv(dem)
in,in,adp()
Franciscus,mannacus,n(prop)
sijn,zijn,pron(poss)
"aenschijn,",aanschijn,n(sing)
Die,je,interj()
Iesus,jezus,n(prop)
mindt,minnen,n(sing)
die,die,pron(rel)
wordt,woord,"v(fin,pres,aux_cop)"
ghelijck,gelijk,adv(gener)
Aen,een,art(def)
"Iesus,",chesus,n(prop)
die,die,pron(rel)
hy,hij,"pron(pers,3,sing)"
lief,lief,adj()
"heeft,",hebben,"v(fin,pres,aux_cop)"
De,eer,adp()
goddelijcke,goddelijk,adj()
liefde,liefde,n(sing)
maeckt,maken,"v(participle,past)"
ons,wij,"pron(pers,1,plu)"
goddelijck.,goddelijk,adv(gener)
