Lemma,Nombre d'apparitions,Frequence d'apparition
de,8,0.0708
zijn,5,0.04425
ne,4,0.0354
haar,3,0.02655
het,3,0.02655
van,3,0.02655
list,2,0.0177
een,2,0.0177
zij,2,0.0177
vrucht,2,0.0177
hoofd,2,0.0177
op,2,0.0177
schrijven,2,0.0177
aan,2,0.0177
oordeel,2,0.0177
daar,2,0.0177
hij,2,0.0177
hand,2,0.0177
gaan,1,0.00885
dicht,1,0.00885
met,1,0.00885
eind,1,0.00885
omringen,1,0.00885
ide,1,0.00885
kant,1,0.00885
voelen,1,0.00885
huis,1,0.00885
ellende,1,0.00885
elzaser,1,0.00885
vrolijkheid,1,0.00885
ja,1,0.00885
lusten,1,0.00885
kwaad,1,0.00885
ei,1,0.00885
gene,1,0.00885
halig,1,0.00885
henen,1,0.00885
smelten,1,0.00885
geweten,1,0.00885
hangen,1,0.00885
bedrijven,1,0.00885
ijdel,1,0.00885
men,1,0.00885
heerwil,1,0.00885
mede,1,0.00885
zondaar,1,0.00885
al,1,0.00885
de+te,1,0.00885
voor,1,0.00885
hoe,1,0.00885
want,1,0.00885
dronken,1,0.00885
hach,1,0.00885
in,1,0.00885
verzinken,1,0.00885
horen,1,0.00885
straffen,1,0.00885
plaag,1,0.00885
min,1,0.00885
bevreesd,1,0.00885
vierde,1,0.00885
efod,1,0.00885
esten,1,0.00885
laten,1,0.00885
ophoop,1,0.00885
loven,1,0.00885
vloeken,1,0.00885
boven,1,0.00885
blijk,1,0.00885
hoofdzoon,1,0.00885
heten,1,0.00885
toen,1,0.00885
dit,1,0.00885
daartellijk,1,0.00885
wezen,1,0.00885
hoog,1,0.00885
gerijzen,1,0.00885
vuim,1,0.00885
vol,1,0.00885
jong,1,0.00885
drijven,1,0.00885
