POS,Nombre d'apparitions,Frequence d'apparition
n(sing),58,0.232
art(def),19,0.076
adv(gener),19,0.076
adp(),17,0.068
n(prop),15,0.06
adj(),12,0.048
conj(coord),12,0.048
v(infin),11,0.044
pron(poss),10,0.04
"v(fin,pres,lex)",10,0.04
n(plu),8,0.032
adv(neg),7,0.028
interj(),5,0.02
"v(fin,pres,aux_cop)",5,0.02
pron(rel),4,0.016
"v(participle,past)",4,0.016
art(indef),4,0.016
pron(dem),3,0.012
conj(comp),2,0.008
v(imp),2,0.008
adv(dem),2,0.008
conj(subord),2,0.008
pron(indef),2,0.008
"pron(pers,3,plu)",2,0.008
"pron(pers,2,plu)",2,0.008
"v(fin,past,aux_cop)",1,0.004
"v(fin,past,lex)",1,0.004
adv(resum),1,0.004
"pron(pers,2,sing)",1,0.004
"pron(refl,3,sing)",1,0.004
adv(inter),1,0.004
pronadv(prep),1,0.004
pronadv(dem),1,0.004
"pron(pers,1,sing)",1,0.004
num(indef),1,0.004
adv(indef),1,0.004
"pron(pers,3,sing)",1,0.004
"conj(subord)+pron(pers,3,sing)",1,0.004
