,pred:Johannes d' Outrein,pred:Albertus Ignatius d'Hanins,pred:Barent Pietersz. Kompas,pred:Volkerus van Oosterwyck,"pred:Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen",pred:Livinus van der Minnen,pred:Joannes Stalpaert van der Wiele,pred:Guilielmus Bolognino,pred:Philips van Marnix,pred:Louis van Neste,pred:Joris Wybo,pred:Dirk Rafaelsz. Camphuysen,pred:Matthijs van der Merwede,pred:Joannes Six van Chandelier,"pred:Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz",pred:Joanna Crajenschot,pred:Jacob van Lennep,pred:Carolus Tuinman,pred:Reynier Rooleeuw,pred:Isaak A. van Vaerlen en Jan Jansz. van Asten,pred:A.C. Alberts,pred:Lambert de Visscher,pred:Lucas van Mechelen,pred:Wiete Ringers,pred:Jacob Westerbaen,pred:J. Tradel,pred:Katharina Wilhelmina Bilderdijk-Schweickhardt,pred:Alle Dercks,pred:Jan Jansz. Deutel,pred:Govert van Mater,pred:Cornelis de Leeuw,pred:F. Pitton,pred:Daniël Willink,pred:Mattheus Gargon,pred:Hermanus van den Burg,pred:Jan Luyken,pred:Abraham de Koning,pred:Jan van der Veen,pred:Lucas de Heere,pred:Cornelis Sweerts,pred:Dirck Pietersz Pers,pred:Joannes Mys,pred:Soetken Gerijts,"pred:Joachim Oudaen, Dirk Rafaelsz. Camphuysen",pred:Johan van Born,pred:Jacob Cats,pred:C. Rhijnenburgh,pred:Claas Seep,pred:Jacob Groenewegen,pred:Wolterus ter Burgh,pred:J.W. Lustig,pred:Jan Thieullier,pred:Johannes Stichter,pred:Hendrik Uilenbroek,pred:Willem de Swaen,pred:Jan Jacob Mauricius,pred:Joost van den Vondel en Johan van Heemskerck (etc.),pred:Hendrik van Tichelen,pred:Js. M. Pfeil,pred:Boudewijn Jansen Wellens,pred:D.V. Coornhert,pred:Michiel Vlack,"pred:B. Targier, Anthony Jansen",pred:Cornelis Stribeé,pred:Philip van Marnix,pred:Jan Jansz. Starter,pred:Abdias Velingius,pred:Petrus Verburg,pred:Hendrik van Boxtel,pred:Daniel Joncktys,pred:Hieronymus Sweerts,pred:Pieter Elsevier,"pred:Pieter IJsbrand van der Hof, C. Groenveld, C.G. Kleyn",pred:Gijsbertus van Sandwijk,pred:Albertus Buitendyck,pred:Joseph van Dieden,pred:J. Vriend,pred:Guilelmus van der Borcht,"pred:Hendrik Lussing, Matthijsz.",pred:Tjaert Sonnema,pred:Haerlem Soetendal,pred:Joost van den Vondel,pred:Pieter Sterlincx,pred:Jacobus Revius,pred:Adriaan Loosjes Pzn.,pred:Franciscus Ridderus,pred:François Halma,pred:J. Sent,pred:Peeter de Vleeschoudere,pred:Samuel Ampzing,pred:Cornelis de Bie,pred:Hugo de Groot,pred:Femme Gerbrantsz Drieduym,pred:Hendrik Riemsnijder,pred:Joos Verschuere Reynvaan,pred:Pieter Vreede,"pred:Louis Sette, Hinderick Ryeland",pred:Jacobus de Ruyter,pred:Jan Jansz. Orlers,pred:Pieter Brughman,pred:Jacob Coenraetsz Mayvogel,pred:Jan van Westerhoven,pred:H. van Vijfderley,pred:Aegidius Haeffacker,pred:Willem Sluiter,pred:Pieter Datheen,pred:Cornelis Maertsz.,pred:Simon Jansz Fortuyn,pred:Johannes Hazeu Cornelisz. en Dirk van der Reijden,pred:Jan Gerritse Wondergem,pred:Christianus de Placker,pred:Pieter Christiaenszoon Bor,pred:Hendrik Rintjes,pred:Claas Ganglofs,pred:Cornelis van Eeke,"pred:Anthonis de Hubert, Antonis de Hubert",pred:J.Z. Baron,pred:Joannes Cloeck,pred:Jacob Claesz,pred:Joan Ysermans,pred:Jan Mommaert,pred:Augustinus van Teylingen,pred:Johannes Wilhelmus Bussingh,pred:Thomas Fonteyn,pred:Hagen,pred:Gerrit Hendricksz. van Breughel,pred:Jacob Rosant,pred:Gaudentius van Loemel,pred:Aagje Deken en Klaas van der Horst,pred:Pieter van Gelre,pred:Johanna de Gavre,pred:Daniel Bellemans,pred:M. van de Speybroek,pred:Pieter Lenaerts van der Goes,pred:Jan van Gijsen,"pred:J. Veldkamp en K. de Boer, J. Veldkamp, K. de Boer",pred:Leenaert Clock,pred:Aernout van Overbeke,pred:Henricus Costerius,pred:Joannes Vollenhove,pred:Aeneas Mackay,pred:Joannes Kannewet,pred:Hieronymus van Alphen,pred:Christianus Vermeulen,pred:C.P. van Wesbusch,pred:Betje Wolff en Aagje Deken,pred:Samuel Coster,pred:Pieter de Bisschop,pred:Karel van Mander,pred:D. Porcelijn,pred:Frans de Cort,pred:Jodocus van Lodenstein,pred:Claes Stapel,pred:Willem Schellinger,pred:Pieter Dubbels,pred:Daniël Heinsius,pred:Joannes van Dyck,pred:Gysbert Japicx,pred:Arnold Bon,"pred:Petrus Suetmans, Eustachius de Meyer",pred:David Joris,pred:A. de R. en J.G.,pred:Rumoldus Batavus,pred:Jakobus Rosseau,pred:Joannes van Sambeeck,pred:Peter de Beer,pred:Jacob Brouwer,pred:Marijn de Brauwer,pred:Gerrit Manheer,pred:Willem van Geldof,pred:J. Jacobsz. Harlingen,pred:Tannetge Kornelis Blok,pred:Gillis Jacobsz. Quintijn,pred:Simon Abramsz.,pred:Wouter Robbertz,pred:Frank A. Metaal,pred:Jan Zoet,pred:David Montanus,pred:G.A. Bredero,pred:Joan Blasius,pred:Hendrik Jacobz. Soetenboom,pred:Pieter Cauwe,pred:Wilhelmus,pred:Leonardus Gouwerak,pred:Herman Ockes,pred:Jan van Eijk,pred:Jan van Hoogstraten,pred:P.A. Dreyer,pred:Arnoldus Cobbault,pred:Dirk ter Woort,pred:Matthijs de Castelein,pred:Guillaume Abrahams Ooijevaer,pred:Herman Harts,pred:Johan Deknatel,pred:E.J. Boneschanscher,pred:J. Smeerbol,"pred:R.J. de Nerée, P.C. Hooft, C.G. Plemp",pred:Justus de Harduwijn,pred:Jacob Steendam,pred:Johan Beets,"pred:Adriaan Loosjes, Jan van Walré",pred:Jacob Janszoon Colevelt,pred:Philippus Jongheryx,pred:Roelant de Kater,pred:Hans de Ries,pred:Jacobus Viverius,pred:Cornelis Dirksen Wittenoom,pred:Philippus van Sorgen,pred:Franciscus de Laat,pred:Zacharias Heyns,pred:Godfried Bussé,pred:Frans vander Straten de jongere,pred:F. Verloo,pred:Pieter Nootmans,pred:Jan Utenhove,pred:Bernardus Busschoff,pred:Pieter Cornelisz. van der Morsch,pred:Philippus Jennyn,pred:Rutger Schutte,pred:Pieter de Vos,pred:Nicolaes Janssens,pred:Andries Pels,pred:Dirk de Vries,pred:E. Pels de Jonge,pred:François Foret,"pred:Antoine Mahaut, Kornelis Elzevier",pred:Hendrick Jansz. Prins,pred:Johan van Heemskerck,pred:Anthony Jansen,pred:J.H. Pos,pred:W.J. van Zeggelen,pred:Jan Pieter Heije,pred:Joseph Sadones,pred:C. J. Wits,pred:Joannes de Lixbona,pred:Johan Fruytiers
true:Johannes d' Outrein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:Albertus Ignatius d'Hanins,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:Barent Pietersz. Kompas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:Volkerus van Oosterwyck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"true:Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
true:Livinus van der Minnen,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:Joannes Stalpaert van der Wiele,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:Guilielmus Bolognino,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:Philips van Marnix,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:Louis van Neste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
