id,True,Pred
Jacobus de Ruyter,Jacobus de Ruyter,Willem Sluiter
Mattheus Gargon,Mattheus Gargon,Jan van Hoogstraten
Jacobus de Ruyter,Jacobus de Ruyter,Joannes de Lixbona
Johan Beets,Johan Beets,Hendrik Riemsnijder
Hagen,Hagen,Joos Verschuere Reynvaan
Cornelis Maertsz.,Cornelis Maertsz.,"Pieter IJsbrand van der Hof, C. Groenveld, C.G. Kleyn"
Pieter Dubbels,Pieter Dubbels,Thomas Fonteyn
Jan Mommaert,Jan Mommaert,Livinus van der Minnen
Guilelmus van der Borcht,Guilelmus van der Borcht,Johan Fruytiers
Betje Wolff en Aagje Deken,Betje Wolff en Aagje Deken,Carolus Tuinman
Cornelis Sweerts,Cornelis Sweerts,Gijsbertus van Sandwijk
"B. Targier, Anthony Jansen","B. Targier, Anthony Jansen","Jan Steven van Esveldt Holtrop, Willem Holtrop"
Johannes Stichter,Johannes Stichter,Johan Deknatel
Jan Thieullier,Jan Thieullier,Cornelis de Bie
Joannes van Sambeeck,Joannes van Sambeeck,Jacob Coenraetsz Mayvogel
Hans de Ries,Hans de Ries,Karel van Mander
Jan Pieter Heije,Jan Pieter Heije,Js. M. Pfeil
Lucas de Heere,Lucas de Heere,Hugo de Groot
Willem Sluiter,Willem Sluiter,Jan Jansz. Deutel
Marijn de Brauwer,Marijn de Brauwer,Albertus Buitendyck
Joris Wybo,Joris Wybo,Hendrik Rintjes
Albertus Buitendyck,Albertus Buitendyck,Frans vander Straten de jongere
"xFrançois Halma, François Halma","xFrançois Halma, François Halma",Hieronymus van Alphen
Hendrik Rintjes,Hendrik Rintjes,Jan Jansz. Deutel
Jan van Eijk,Jan van Eijk,Jacobus de Ruyter
David Montanus,David Montanus,Cornelis de Leeuw
Albertus Ignatius d'Hanins,Albertus Ignatius d'Hanins,Joannes de Lixbona
Arnold Bon,Arnold Bon,Johanna de Gavre
Joannes de Lixbona,Joannes de Lixbona,Frans vander Straten de jongere
Christianus de Placker,Christianus de Placker,Joannes van Sambeeck
Karel van Mander,Karel van Mander,Joan Ysermans
Cornelis Stribeé,Cornelis Stribeé,Pieter Nootmans
G.A. Bredero,G.A. Bredero,Jacob Rosant
Johan Deknatel,Johan Deknatel,Jan van Eijk
François Halma,François Halma,Willem Sluiter
Franciscus Ridderus,Franciscus Ridderus,"Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa"
Philippus van Sorgen,Philippus van Sorgen,Joannes van Sambeeck
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier","Petrus Suetmans, Eustachius de Meyer"
Hendrik Rintjes,Hendrik Rintjes,Leenaert Clock
J.Z. Baron,J.Z. Baron,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
H. van Vijfderley,H. van Vijfderley,Jacobus de Ruyter
Johannes Wilhelmus Bussingh,Johannes Wilhelmus Bussingh,Albertus Buitendyck
Matthijs van der Merwede,Matthijs van der Merwede,Willem de Swaen
Hans de Ries,Hans de Ries,Pieter Datheen
Hugo de Groot,Hugo de Groot,Jan Utenhove
Rutger Schutte,Rutger Schutte,Hieronymus van Alphen
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Claes Stapel
Joannes Stalpaert van der Wiele,Joannes Stalpaert van der Wiele,"Antoine Mahaut, Kornelis Elzevier"
Florimond van Duyse,Florimond van Duyse,Jan Pieter Heije
Thomas Fonteyn,Thomas Fonteyn,Jan van Hoogstraten
Joannes de Lixbona,Joannes de Lixbona,Jacobus de Ruyter
J. Tradel,J. Tradel,Claes Stapel
Herman Ockes,Herman Ockes,Florimond van Duyse
Alle Dercks,Alle Dercks,Carolus Tuinman
Joannes Kannewet,Joannes Kannewet,"Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa"
Femme Gerbrantsz Drieduym,Femme Gerbrantsz Drieduym,Lambert de Visscher
"B. Targier, Anthony Jansen","B. Targier, Anthony Jansen",Dirk Rafaelsz. Camphuysen
Betje Wolff en Aagje Deken,Betje Wolff en Aagje Deken,Joannes Six van Chandelier
"B. Targier, Anthony Jansen","B. Targier, Anthony Jansen",Christianus Vermeulen
Joannes de Lixbona,Joannes de Lixbona,Christianus Vermeulen
Jan Pieter Heije,Jan Pieter Heije,Js. M. Pfeil
Johan Deknatel,Johan Deknatel,Claes Stapel
Jakobus Rosseau,Jakobus Rosseau,Jan van der Veen
F.A. Snellaert,F.A. Snellaert,"Antoine Mahaut, Kornelis Elzevier"
Betje Wolff en Aagje Deken,Betje Wolff en Aagje Deken,Rutger Schutte
Arnold Bon,Arnold Bon,Justus de Harduwijn
Guillaume Abrahams Ooijevaer,Guillaume Abrahams Ooijevaer,Jan van Hoogstraten
J.F. Willems,J.F. Willems,Florimond van Duyse
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Dirk Rafaelsz. Camphuysen
Abdias Velingius,Abdias Velingius,Carolus Tuinman
Jakobus Rosseau,Jakobus Rosseau,Livinus van der Minnen
Herman Harts,Herman Harts,Jacob Coenraetsz Mayvogel
Joris Wybo,Joris Wybo,Albertus Ignatius d'Hanins
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Dirck Pietersz Pers
Femme Gerbrantsz Drieduym,Femme Gerbrantsz Drieduym,Hendrik Jacobz. Soetenboom
Jan van Eijk,Jan van Eijk,Jacob Westerbaen
Willem Sluiter,Willem Sluiter,Jacob Rosant
F. Verloo,F. Verloo,Franciscus Ridderus
Justus de Harduwijn,Justus de Harduwijn,"R.J. de Nerée, P.C. Hooft, C.G. Plemp"
J.W. Lustig,J.W. Lustig,Gerrit Manheer
Godfried Bussé,Godfried Bussé,Joannes Mys
Philippus van Sorgen,Philippus van Sorgen,Hendrik Jacobz. Soetenboom
"Petrus Suetmans, Eustachius de Meyer","Petrus Suetmans, Eustachius de Meyer",G.A. Bredero
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,M. van de Speybroek
Christianus Vermeulen,Christianus Vermeulen,Gaudentius van Loemel
Johan van Born,Johan van Born,Pieter Dubbels
Aernout van Overbeke,Aernout van Overbeke,Arnold Bon
Boudewijn Jansen Wellens,Boudewijn Jansen Wellens,Jan Jansz. Orlers
