chars,Nombre d'apparitions,Frequence d'apparition
ijn,18,0.04775
en ,15,0.03979
jn ,14,0.03714
 mi,13,0.03448
mij,13,0.03448
"d, ",12,0.03183
 ik,11,0.02918
oor,11,0.02918
aar,10,0.02653
ik ,9,0.02387
 ge,9,0.02387
ij ,8,0.02122
gen,8,0.02122
or ,7,0.01857
at ,7,0.01857
der,7,0.01857
 uw,7,0.01857
an ,7,0.01857
in ,7,0.01857
 in,7,0.01857
 be,7,0.01857
et ,7,0.01857
ver,7,0.01857
En ,7,0.01857
 En,7,0.01857
", E",7,0.01857
ar ,7,0.01857
 da,7,0.01857
 zi,7,0.01857
 ve,7,0.01857
cht,6,0.01592
 do,6,0.01592
lij,6,0.01592
"n, ",6,0.01592
eid,6,0.01592
zij,6,0.01592
oel,6,0.01592
 Mi,5,0.01326
Mij,5,0.01326
ot ,5,0.01326
", D",5,0.01326
 Da,5,0.01326
 en,5,0.01326
 le,5,0.01326
n d,5,0.01326
 we,5,0.01326
", M",5,0.01326
n m,5,0.01326
ade,5,0.01326
t i,5,0.01326
