chars,Nombre d'apparitions,Frequence d'apparition
n_n_n,12,0.03909
n_conj_n,11,0.03583
n_n_v,10,0.03257
v_art_n,10,0.03257
n_v_pron,10,0.03257
art_n_n,10,0.03257
n_v_n,10,0.03257
pron_n_n,8,0.02606
n_pron_v,8,0.02606
n_pron_n,8,0.02606
v_n_pron,8,0.02606
adp_pron_n,7,0.0228
pron_n_conj,7,0.0228
n_v_adp,7,0.0228
v_adp_n,7,0.0228
adj_n_n,6,0.01954
n_n_pron,6,0.01954
v_pron_v,6,0.01954
conj_n_v,6,0.01954
v_adp_pron,6,0.01954
n_n_conj,6,0.01954
v_v_n,6,0.01954
art_n_v,6,0.01954
adv_v_n,6,0.01954
conj_n_n,6,0.01954
n_conj_pron,6,0.01954
pron_n_v,5,0.01629
conj_adj_n,5,0.01629
adp_art_n,5,0.01629
adj_n_v,5,0.01629
adp_n_v,5,0.01629
pron_adv_v,5,0.01629
pron_v_art,5,0.01629
n_adp_n,5,0.01629
n_adv_v,5,0.01629
n_v_v,5,0.01629
n_v_conj,5,0.01629
adp_n_conj,5,0.01629
n_adj_n,4,0.01303
v_adv_v,4,0.01303
v_pron_art,4,0.01303
n_n_adp,4,0.01303
adv_v_v,4,0.01303
v_pron_adv,4,0.01303
n_art_n,4,0.01303
adj_conj_n,4,0.01303
n_adj_v,4,0.01303
v_n_conj,4,0.01303
pron_v_conj,4,0.01303
adp_pron_adv,4,0.01303
